Time                CORE-spark-VM       YK-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       YK-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     YK-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     YK-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
1485548858               2                   2                   2                   2                   3                   3                   3                   3                   1                   5                   5                   5                   5                   10                  10                  10                  9                   3                   
1485548865               2                   2                   2                   2                   3                   3                   3                   3                   1                   5                   5                   5                   5                   10                  9                   9                   9                   3                   
1485548872               2                   2                   2                   2                   3                   3                   3                   3                   1                   5                   5                   5                   5                   9                   9                   9                   8                   3                   
1485548878               2                   2                   2                   2                   3                   3                   3                   2                   1                   5                   5                   5                   4                   9                   8                   9                   8                   3                   
1485548885               2                   2                   2                   2                   3                   2                   3                   2                   1                   5                   5                   5                   4                   9                   8                   9                   8                   3                   
1485548891               2                   2                   2                   2                   3                   2                   3                   2                   1                   5                   4                   5                   4                   9                   8                   8                   8                   3                   
1485548898               2                   2                   2                   2                   3                   2                   2                   2                   1                   5                   4                   4                   4                   8                   8                   8                   8                   3                   
1485548905               2                   2                   2                   2                   2                   2                   2                   2                   1                   4                   4                   4                   4                   8                   8                   8                   8                   3                   
1485548911               2                   2                   2                   2                   2                   2                   2                   2                   1                   4                   4                   4                   4                   8                   7                   8                   7                   3                   
1485548918               2                   2                   2                   2                   2                   2                   2                   2                   1                   4                   4                   4                   4                   7                   7                   7                   6                   3                   
1485548925               2                   2                   2                   1                   2                   2                   2                   2                   1                   4                   4                   4                   3                   7                   7                   7                   6                   2                   
1485548931               2                   2                   2                   1                   2                   2                   2                   2                   1                   4                   3                   4                   3                   7                   6                   7                   6                   2                   
1485548938               2                   1                   2                   1                   2                   2                   2                   2                   1                   4                   3                   3                   3                   7                   6                   6                   6                   2                   
1485548945               2                   1                   1                   1                   2                   2                   2                   2                   1                   4                   3                   3                   3                   6                   6                   6                   6                   2                   
1485548951               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   6                   6                   6                   6                   2                   
